*---------------------------------------------------------------------*
*                                                                     *
* Wageningen weather                                                  *
*                                                                     *
* Longitude (east), Latitude (north), Altitude (m) of weather station *
*                                                                     *
* column  Daily weather                                               *
* 1       Year                                                        *
* 2       Day                                                         *
* 3       Minimum temperature                      (degr. C.)         *
* 4       Maximum temperature                      (degr. C.)         *
* 5       Daily total global radiation             (MJ/m2/day)        *
* 6       Rainfall                                 (mm)               *
* 7       Vapour pressure at 9.00 h in the morning (mbar)             *
* 8       Windspeed  (daily average)               (m/s)              *
*---------------------------------------------------------------------*
 5, 52, 0
76 149   4.0  19.7 15.50   0.0 11.1  2.0
76 150   9.9  16.8 14.60   0.1 11.2  3.8
76 151  10.3  16.1 14.01   2.4 11.4  4.0
76 152  10.9  17.7 10.21   0.0 13.0  2.8
76 153   8.6  12.3  9.56  12.2  9.3  3.2
76 154   6.9  11.2  6.27   0.0  8.9  2.7
76 155   2.0  13.0 12.78   0.4  7.8  0.9
76 156   0.1  19.2 25.70   0.0  7.9  1.0
76 157   4.9  22.6 26.26   0.0  9.6  1.4
76 158   5.9  26.4 28.05   0.0  9.1  1.4
76 159  17.0  28.1 26.33   0.0 11.8  3.1
76 160  16.6  30.4 23.41   0.0 14.8  3.2
76 161   9.8  20.5 18.18   0.0 12.6  2.5
76 162   7.9  22.5 24.97   0.0  9.8  0.7
76 163  10.2  25.0 24.35   0.0 12.6  2.6
76 164   9.1  22.1 21.17   0.0 13.7  2.1
76 165   8.6  24.1 26.73   0.0 13.5  2.4
76 166  13.7  22.1 17.22   0.0 13.9  3.5
76 167   7.8  16.5 13.15   0.0 10.8  2.8
76 168   5.1  23.4 25.96   0.0 10.7  1.4
76 169   4.6  23.1 21.42   0.0 12.0  2.1
76 170  12.6  16.5  7.50   0.0 13.8  3.8
76 171  10.1  15.1  4.82  12.0 14.4  3.9
76 172  10.4  21.0 20.39  10.0 13.4  1.6
76 173   8.0  24.0 19.92   0.0 14.0  0.7
76 174  10.8  27.8 25.74   0.0 13.5  1.2
76 175  17.9  31.1 24.45   0.0 14.7  1.6
76 176  15.6  32.5 22.54   0.0 15.3  1.2
76 177  14.4  32.7 24.79   0.0 14.6  1.4
76 178  15.5  33.2 24.96   0.0 16.4  1.3
76 179  17.0  31.1 25.08   0.0 15.1  2.1
76 180  12.1  27.9 27.96   0.0 13.4  2.5
76 181  14.0  30.1 27.89   0.0 13.2  3.3
76 182  16.3  29.1 27.89   0.0 11.2  3.0
76 183  14.3  32.1 28.13   0.0 11.5  2.2
76 184  17.4  34.4 25.22   0.0 13.7  1.6
76 185  15.6  33.6 25.01   0.0 13.5  1.6
76 186  12.2  32.4 26.60   0.0 13.8  2.0
76 187  18.0  29.8 27.27   0.0 11.0  2.8
76 188  13.0  29.1 25.36   0.0  8.8  2.5
76 189  11.8  28.1 27.18   0.0 13.9  2.3
76 190  10.0  27.0 23.26   0.0 14.8  1.0
76 191  10.5  22.1 15.58   0.0 15.0  1.9
76 192   9.8  26.0 24.10   0.0 12.8  1.3
76 193  14.5  28.9 23.09   0.0 14.1  2.0
76 194  15.5  22.2  6.62   3.0 17.9  1.6
76 195  13.3  23.2 14.99   1.2 14.5  2.0
76 196  10.6  28.5 24.01   0.0 14.6  1.3
76 197  19.0  33.2 17.67   0.0 20.1  2.0
76 198  16.3  21.0  6.58   7.2 20.1  1.3
76 199  16.0  23.1  9.35   4.0 18.4  1.2
76 200  14.8  24.3 17.05   0.0 17.4  2.3
76 201  13.6  20.6  9.76   1.2 16.1  2.8
76 202  11.8  18.6 10.37   1.8 14.0  2.4
76 203   9.8  20.1 19.71   3.0 12.1  2.2
76 204   6.0  21.1 18.80   0.0 11.2  1.5
76 205  11.8  19.6 13.34   0.0 14.1  1.3
76 206  11.6  20.7 17.70   2.8 14.4  1.8
76 207   8.3  21.1 22.71   3.9 13.6  1.9
76 208   8.4  20.0 12.79   0.0 12.5  1.2
76 209   9.4  20.2 12.48   0.0 13.3  2.2
76 210   9.8  21.0 22.09   0.0 10.8  2.5
76 211  13.0  20.3 10.75   0.0 13.8  3.4
76 212   7.2  16.5  9.65   0.5 11.7  1.5
76 213   6.5  18.0 19.22   4.5  9.7  2.7
76 214  12.4  18.5  9.09   1.6 14.6  3.2
76 215   8.7  18.0 10.42   2.8 14.7  2.3
76 216   8.0  19.5 19.18   1.0 11.3  1.5
76 217   9.5  20.4 15.88   0.0 12.1  1.3
76 218  10.3  21.4 14.76   0.0 13.1  1.0
76 219   9.3  21.6 15.23   0.0 13.5  2.1
76 220   8.5  23.4 21.44   0.0 12.5  1.7
76 221  13.7  26.5 21.89   0.0 11.9  2.5
76 222   9.5  25.7 17.67   0.0 11.0  1.7
76 223  10.6  26.3 17.18   0.0 12.6  1.2
76 224   8.4  26.8 17.43   0.0 13.1  1.2
76 225   9.9  25.6 22.12   0.0 11.9  1.5
76 226  10.4  24.9 20.96   0.0 12.1  2.1
76 227  12.8  25.9 21.52   0.0 11.4  2.7
76 228   8.7  26.2 21.61   0.0 11.1  2.4
76 229   8.7  23.2 18.05   0.0 12.6  1.5
76 230   7.4  23.8 14.20   0.0 13.6  1.3
76 231  12.9  26.1 21.10   3.6 15.5  2.4
76 232  11.9  25.5 16.27   0.0 16.0  1.9
76 233  13.2  25.5 19.98   0.0 12.0  2.5
76 234  12.5  23.8 22.30   0.0  8.3  3.3
76 235  12.9  24.8 21.83   0.0  8.1  3.0
76 236   9.4  28.0 20.91   0.0  8.7  2.1
76 237   7.7  30.0 20.55   0.0  9.3  1.3
76 238  10.3  24.5 15.96   0.0 13.5  2.2
76 239  13.3  21.5 13.26   0.0 14.1  2.6
76 240  10.6  21.0 11.24   3.8 14.3  1.5
76 241  14.4  26.1 13.94   2.3 15.6  2.6
76 242  12.0  22.0  9.98   0.1 16.9  2.0
76 243   8.3  22.4 17.05   0.8 13.0  1.5
76 244   8.5  20.4  9.76   0.0 13.5  1.9
76 245   8.9  16.7 12.13  11.4 12.0  2.1
76 246   7.5  17.5 13.76   2.4 10.8  2.2
76 247   8.0  17.3  7.16   1.0 11.8  1.1
76 248   6.3  17.5  9.72   6.4 10.9  0.9
76 249   4.3  19.8 17.20   0.0 10.9  1.1
76 250   8.2  21.1 15.35   0.0 12.1  1.4
76 251   7.2  20.8 12.06   0.0 11.9  1.2
76 252   9.5  15.6  4.78   0.1 12.0  3.8
76 253   7.7  14.5  7.82   4.4 10.4  4.6
76 254   7.8  14.4  7.23   2.8 10.4  4.4
76 255   7.0  18.4 14.23   0.7 11.1  2.8
76 256   5.5  17.9  5.45   0.0 12.0  2.5
76 257  10.0  17.2 10.11   1.0 11.9  2.9
76 258  10.1  18.7 12.39   0.0 12.5  1.3
76 259  10.5  16.1  6.90   1.0 12.9  0.8
76 260  10.5  16.3  7.47   1.1 13.1  1.6
76 261   8.8  17.0  8.44   0.0 11.7  1.7
76 262   7.7  20.5 11.34   2.3 11.7  1.2
76 263   4.6  18.7 11.74   0.0 11.0  1.2
76 264   6.5  19.3 13.49   0.0 10.6  1.8
76 265   9.9  19.6 13.15   0.0 10.9  2.5
76 266  11.8  19.1  9.69   0.0 12.9  2.2
76 267  13.2  18.3  8.01   1.9 14.9  1.4
76 268  12.6  18.5  5.94   0.0 14.4  3.0
76 269   9.5  19.8  5.20   0.0 15.2  1.6
76 270   9.5  22.0  8.39   0.6 16.3  1.3
76 271  11.5  21.0  7.01   2.4 16.6  0.9
76 272  10.1  19.1  7.30   1.7 15.0  0.8
76 273   9.4  19.6  9.40   0.9 14.4  2.0
76 274  13.3  19.1  7.88   0.4 15.7  2.7
76 275  12.2  19.1  8.83   2.5 14.8  1.5
76 276  11.3  19.0  9.68   0.0 13.0  2.3
76 277  10.0  18.0  5.35   0.0 13.3  3.0
76 278   7.7  15.8 11.23   2.4  9.9  3.4
76 279  11.9  18.3  2.35   4.6 15.2  4.4
76 280  11.4  19.5  2.81   5.1 14.4  3.8
76 281   8.7  15.7  7.19   2.9 12.1  1.5
76 282   8.6  20.2  7.56   0.0 15.8  1.8
76 283  14.0  18.0  4.41   0.0 15.9  1.5
76 284  12.7  21.8  8.96   0.0 14.3  3.6
76 285  10.5  16.6  4.66   0.0 12.6  2.6
76 286   8.5  14.1  5.44   0.0 11.2  0.7
76 287   7.0  14.4  5.20   0.0 10.4  3.2
76 288   8.4  11.1  1.75   0.9  9.2  5.3
76 289   0.2  13.1 10.34   9.3  8.4  2.1
76 290  -2.7  12.6 10.25   0.0  7.6  1.6
76 291   3.9  11.1  4.83   0.0  8.9  2.4
